c_gen,freq_hz,amplitude_mm,v_peak,a_peak,vib_force_N,p_comb_peak_bar,P_elec_W,alive,hits_head
90,47.93961648306814,23.63780641570634,6.295951418788096,2946.865352706226,2946.865352706226,29.501339286626038,1970.3373593605988,True,False
100,45.84288393415296,22.34514112573244,5.7688587433400835,2431.987908621542,2431.987908621542,24.76796879947346,1799.5307831185687,True,False
110,44.24778761061946,21.242784559752558,5.3452743315277935,2091.5844633095803,2091.5844633095803,21.726444562396686,1678.5123948051344,True,False
120,42.944785276073624,20.30206218920099,4.995635493061377,1846.280819196427,1846.280819196427,19.601330168111833,1575.674397098124,True,False
130,41.82819832687207,19.48864785191904,4.7000774481414,1659.3933092753769,1659.3933092753769,18.034478829307147,1490.1330609843992,True,False
140,40.824658093488466,18.770946650876294,4.444529140335677,1510.6381076900918,1510.6381076900918,16.836616799028675,1423.966868988541,True,False
150,39.87730061349694,18.1537072563299,4.222247439556558,1388.8118931974004,1388.8118931974004,16.767655093226075,1355.5018929351763,True,False
160,38.966365873666945,17.6055161259777,4.02607299030408,1286.7805709294316,1286.7805709294316,16.700855525122275,1301.966572101251,True,False
170,38.065843621399175,17.12312514312493,3.8511276004993142,1199.741611321505,1199.741611321505,16.636305729888292,1249.7214466378603,True,False
180,37.15937241948802,16.70270371278554,3.694232962849497,1124.2609035104679,1124.2609035104679,16.57383757725132,1198.4461142013895,True,False
